id_marca,nombre
225,BRUTALE
225,F4
226,BIG FORCE
226,BLACK STAR
226,BRX
226,DUAL
226,FENIX GOLD
226,FOX
226,GO
226,HALLEY
226,FENIX
226,JURASIC
226,MA
226,SIMBA
226,SPORT
226,SPYDER
226,STREET
226,SUPER
226,XRT
227,AX
227,JC
227,QM
228,BR III
229,BEVERLY
229,LIBERTY
229,MP3
229,NRG
229,RUNNER
229,VESPA
229,ZIP
230,BLACK JACK
230,FENIX GOLD
230,GHOST
230,SPYDER
231,ENJOY
231,HUSKY
231,PASSING
232,SCROSS
233,TRIMOTO
234,CJ
234,JH
234,JL
234,STAR 50
234,WORK 125
234,SKY 125
234,FLY 135
234,BEST
234,SHARK
234,MOBY 50
234,JOTO 135
234,MONTEZ 250
234,DUNNA 600
234,VICO
235,REBELLIAN
235,TRITON
235,VTHUNDER
236,WY
246,XM
253,LAMBRETA
269,SCOOTER
281,ZS 200
281,125 ZS
282,BW 125
294,WALK MACHINE
297,MZ 250
297,KAPRA
297,RALLYE
297,PASSEIO
299,RED HUNTER
299,W/NG
299,M2F
299,GOLDEN ARROW
340,150
341,WAKE 500
341,OUTCROSS
341,JOY PLUS
341,PASSION
341,TREND
341,PIT BULL
341,BRUTTUS
342,UFO 50
342,LF250ST
342,FOX 150R
342,LF400ST
342,VR 150 WIND
342,HERCULES 200
342,ONIX 50R
342,HS 150 FIRE
343,KN 150
343,KN 125 S
343,KN 50 S
344,50 SX
344,65 SX
344,85 SX
344,125 SX
344,150 SX
344,250 SX
344,350 SX
344,450 SX-F
344,350 EXC
344,500 EXC
344,150 XC
344,250 XC
344,300 XC
344,450 XC-F/W
344,200 XC
344,690 ENDURO R
344,1190 ADVENTURE
344,990 SM T
344,990 ADVENTURE BAJA
344,690 DUKE
344,1190 RC8 R
344,525 XC
344,505 SX
344,450 XC
344,450 SX
349,HB
358,OUTLANDER 400
358,OUTLANDER 500
358,OUTLANDER 650
358,OUTLANDER 800R
358,OUTLANDER MAX 400
358,OUTLANDER MAX 500
358,OUTLANDER MAX 650
358,OUTLANDER MAX 800R
358,OUTLANDER MAX LTD 800R
358,RENEGADE 500
358,RENEGADE 800R
358,DS 250
358,DS 450
358,DS 90
358,RT
358,RS
359,ACX 250F
359,HOTZOO SPORT 90
359,SPORTLANDER 150R
359,SPORTLANDER 250XR
359,SPORTLANDER 350ZX
359,SPORTLANDER 450TR
359,QUADRILANDER 300
359,QUADRILANDER 400
359,QUADRILANDER 600
359,FRONTLANDER 500
359,FRONTLANDER 800 EFI
